model,fold,method,deletion_auc,insertion_auc,source
cbm_leaky,fold_2,integrated_gradients,0.47562266576144613,0.7559487627167352,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\cbm_leaky\faithfulness_metrics.csv
cbm_leaky,fold_2,occlusion,0.5371340327832343,0.8016646587253393,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\cbm_leaky\faithfulness_metrics.csv
cbm_nonleaky,fold_2,gradcam,0.50828545242978,0.7417746169007078,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\cbm_nonleaky\faithfulness_metrics.csv
cbm_nonleaky,fold_2,gradcam++,0.5324307816128736,0.7655370974881734,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\cbm_nonleaky\faithfulness_metrics.csv
cbm_nonleaky,fold_2,gradient_shap,0.3515673526856456,0.770326078736187,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\cbm_nonleaky\faithfulness_metrics.csv
cbm_nonleaky,fold_2,guided_backprop,0.3960458931909464,0.7279223791701637,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\cbm_nonleaky\faithfulness_metrics.csv
cbm_nonleaky,fold_2,integrated_gradients,0.34991667121028025,0.7701837913292474,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\cbm_nonleaky\faithfulness_metrics.csv
cbm_nonleaky,fold_2,occlusion,0.39587823517687504,0.8059207310179063,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\cbm_nonleaky\faithfulness_metrics.csv
convnext_blackbox,fold_2,gradcam,0.6200903565050102,0.6544050241766963,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\convnext_blackbox\faithfulness_metrics.csv
convnext_blackbox,fold_2,gradcam++,0.5817493330261495,0.6978471810678796,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\convnext_blackbox\faithfulness_metrics.csv
convnext_blackbox,fold_2,gradient_shap,0.4408663890298291,0.748003418475324,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\convnext_blackbox\faithfulness_metrics.csv
convnext_blackbox,fold_2,guided_backprop,0.4801210776913018,0.7111664651787554,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\convnext_blackbox\faithfulness_metrics.csv
convnext_blackbox,fold_2,integrated_gradients,0.44117749795342387,0.7480362775572454,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\convnext_blackbox\faithfulness_metrics.csv
convnext_blackbox,fold_2,occlusion,0.4837010779228682,0.7930829310485472,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\convnext_blackbox\faithfulness_metrics.csv
deit_small,fold_2,attention_rollout,0.5897094331828412,0.7359045077934862,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\deit_small\faithfulness_metrics.csv
deit_small,fold_2,gradcam,0.6611379320106159,0.6625125215208778,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\deit_small\faithfulness_metrics.csv
deit_small,fold_2,gradcam++,0.666944664557154,0.6733391364212148,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\deit_small\faithfulness_metrics.csv
deit_small,fold_2,gradient_shap,0.5563316486133262,0.7045148903240139,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\deit_small\faithfulness_metrics.csv
deit_small,fold_2,guided_backprop,0.5541921873069368,0.6914338472178206,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\deit_small\faithfulness_metrics.csv
deit_small,fold_2,integrated_gradients,0.5615243828995153,0.7009196931918462,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\deit_small\faithfulness_metrics.csv
deit_small,fold_2,occlusion,0.6022343075977018,0.6953637776151299,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\deit_small\faithfulness_metrics.csv
densenet121,fold_2,gradcam,0.47880991044221444,0.8190105741952235,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\densenet121\faithfulness_metrics.csv
densenet121,fold_2,gradcam++,0.524042614489949,0.785180330277731,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\densenet121\faithfulness_metrics.csv
densenet121,fold_2,gradient_shap,0.45947922807594294,0.7931057355751594,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\densenet121\faithfulness_metrics.csv
densenet121,fold_2,guided_backprop,0.4604870046490105,0.786277001829818,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\densenet121\faithfulness_metrics.csv
densenet121,fold_2,integrated_gradients,0.4481046334611407,0.7790731572403262,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\densenet121\faithfulness_metrics.csv
densenet121,fold_2,occlusion,0.4368508992891293,0.7935959809944034,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\densenet121\faithfulness_metrics.csv
efficientnet_b4,fold_2,gradcam,0.38237045814188114,0.6844011037132393,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\efficientnet_b4\faithfulness_metrics.csv
efficientnet_b4,fold_2,gradcam++,0.42226848100579806,0.6774813303907091,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\efficientnet_b4\faithfulness_metrics.csv
efficientnet_b4,fold_2,gradient_shap,0.4402147880520594,0.5024816725708855,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\efficientnet_b4\faithfulness_metrics.csv
efficientnet_b4,fold_2,guided_backprop,0.45753348758777906,0.4628596043655027,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\efficientnet_b4\faithfulness_metrics.csv
