model,sample_idx,feature_autocorrelation,feature_total_variation,feature_entropy_norm,feature_coherence_score,feature_fragmentation_score
resnet50,169,0.6652621338455877,0.5873563560225517,0.7989824032506129,0.41910068354943253,0.4692873928994209
resnet50,170,0.6028992417893547,0.5878619278569215,0.8009992484222533,0.3796924853554903,0.47087696238945104
resnet50,171,0.558494330813706,0.6152634106583861,0.78106044519428,0.34576052867195334,0.4805579134405901
resnet50,172,0.5586446793964106,0.558281044818392,0.7652791090100826,0.35850059349308017,0.427240820555837
resnet50,173,0.6046603749997363,0.5499828601817915,0.7699430059757446,0.3901077815330281,0.42345545660350625
resnet50,174,0.6511943936389262,0.5207349227741839,0.7545749555469932,0.42821032376306056,0.3929335312040967
resnet50,175,0.7228152360563859,0.5324343281607858,0.7723684281385482,0.4716777892360988,0.41123546512855014
resnet50,176,0.7015377047662749,0.580741256980274,0.7922744401601943,0.4438029953785341,0.46010645425197416
resnet50,177,0.7034479618996599,0.5638115921425979,0.784247916447146,0.4498291005349672,0.44216806640658046
resnet50,178,0.6493113924905227,0.577804695309119,0.7675022997669568,0.4115283687651287,0.4434664324658946
resnet50,179,0.6297226992900847,0.5253930404169014,0.7225268184402909,0.41282651920188174,0.3796105619230949
resnet50,180,0.694631142373315,0.5757692537655189,0.7910234345299637,0.4408203426443292,0.455446972610355
resnet50,181,0.6885386883975115,0.558299402161897,0.7693252308859484,0.4418526295025665,0.42951381647168835
resnet50,182,0.6472619728914115,0.5473894844413443,0.7722230182790512,0.4182928599421711,0.42270675984950856
resnet50,183,0.6893281907516947,0.5545903255539938,0.7783148828578007,0.4434146922315664,0.4316459042676262
resnet50,184,0.6074719383617081,0.5923228593439056,0.7856080942940113,0.38150048201406117,0.4653336327359454
resnet50,185,0.6871739182963389,0.505164858059008,0.7412869460581389,0.4565439557115937,0.37447211488645527
resnet50,186,0.7338860384022603,0.50147294171157,0.736612126529406,0.4887773985228689,0.36939104999111644
resnet50,187,0.6921466131508077,0.47233985699985337,0.7005403599902765,0.4700997598211978,0.33089313346043303
resnet50,188,0.692647940545026,0.5318287509872867,0.7489266036704917,0.4521706098665429,0.39830070021122826
resnet50,189,0.6994276798819528,0.48750862446071364,0.7074396892579039,0.470200756069919,0.34488294979903544
resnet50,190,0.6824461260012489,0.52021032098581,0.7098048672109785,0.44891559844081536,0.36924781780911337
resnet50,191,0.6631312843024847,0.5682985436095163,0.8165698314470459,0.4228348530989868,0.46405544596682435
resnet50,192,0.6513222797709941,0.5507347779842979,0.7501026060764742,0.4200088171219109,0.4131075922229703
resnet50,193,0.6601534493168019,0.5270017390713618,0.7486799248169718,0.43232003764335647,0.39455562238636055
resnet50,194,0.6242721917338615,0.5065897725848323,0.7316070826436414,0.41436109755531364,0.37062466561789487
resnet50,195,0.7086639317281191,0.5843142091612676,0.8259370127141934,0.44730011738219794,0.4826067324011138
resnet50,196,0.6369950982829005,0.5172491013561931,0.7259453413743495,0.419835541648054,0.3754945754595971
resnet50,197,0.6330909118923845,0.527127751931443,0.7016810722891883,0.41456316348889566,0.3698755662086442
resnet50,198,0.6370423415925597,0.5573412121249162,0.7806787336426931,0.40905765328289645,0.43510443168856316
resnet50,199,0.6719948159898964,0.5336487746214278,0.7797246936864036,0.43816734777216143,0.41609912732781745
resnet50,200,0.6709740535193347,0.5583439357280591,0.8076726546384054,0.43056865569657143,0.4509591287707367
resnet50,201,0.6532982948097138,0.619916743043177,0.8589838663293884,0.40329127877425786,0.5324984807415502
resnet50,202,0.5926020659042718,0.5184925632843081,0.7129952717946239,0.39025681141470203,0.3696827460823865
resnet50,203,0.47425359912917514,0.6432457191407934,0.8014736451003762,0.28860784093638103,0.5155444912149846
resnet50,204,0.6346370745332047,0.5384401675810464,0.7506961350601004,0.41251982878935817,0.40420495276420426
resnet50,205,0.6368794738079313,0.5356080154887869,0.7231003088515964,0.41474091524926776,0.3872983214233324
resnet50,206,0.6640093028346845,0.61451588179393,0.8226386974255578,0.4112745562446166,0.5055245445462767
resnet50,207,0.6218920975394211,0.5743960188591805,0.7738149389255722,0.39500360143825114,0.4444762202526085
resnet50,208,0.6533277076956648,0.5287903099289012,0.7359373028930538,0.42734945626784415,0.38915651448505756
resnet50,209,0.5281385688198539,0.5718504533199519,0.7266567379958112,0.33599797468286935,0.41553898503090214
resnet50,210,0.6412549289585381,0.5810057165201945,0.7362776093502748,0.40559937403006047,0.42778149997833226
resnet50,211,0.6490805494676416,0.5703900041559907,0.763616955829838,0.4133244275306574,0.4355594786093663
resnet50,212,0.6403976392178969,0.5185977984800789,0.7473181594258147,0.4217032580047545,0.3875575522424121
resnet50,213,0.6318238804607992,0.6010979883970065,0.7948200130901317,0.39461912077809247,0.4777647110061605
resnet50,214,0.6578692718201492,0.5849777244175057,0.76453430426001,0.4150653108149658,0.4472355375451416
resnet50,215,0.6899183167213576,0.5415739893496739,0.7736891121185888,0.44754148778314917,0.4190098989664713
